"PlayerID","Name","Season_future","Start_IP_future","ERA_Minus_future","Age","Start_IP_past1","xFIP_Minus_past1","SIERA_past1","K_Rate_Plus_past1","K_BB_Rate_past1","botStf_past1","Stuff_Plus_past1","Pitching_Plus_past1"
"19316_641778","Eric Lauer",2022,158.05999907,90.94354459,27,106.05999907,100.8937248,4.331575495,98.69390867,0.1503,40.15987945,90.14991023,97.4598444
"15454_601713","Nick Pivetta",2022,179.05999907,110.6889615,29,154,100.1460361,4.166285837,114.7289841,0.1657,51.23540168,115.1615751,104.6611355
"15451_594577","Mike Mayers",2022,14.059999943,108.5977435,30,0,NA,NA,NA,NA,NA,NA,NA
"11836_592836","Taijuan Walker",2022,157.03000183,90.47205564,29,154.03000183,105.6153017,4.484791083,95.17703497,0.1347,43.38672885,100.3707667,100.8395244
"19350_665152","Dean Kremer",2022,120,84.99673227,26,53.060000228,133.4742103,5.260884533,83.23032051,0.0898,42.06232205,94.85055838,97.52111675
"19479_650644","Aaron Civale",2022,97,129.3541437,27,124.02999955,100.9144461,4.4076155,86.24931316,0.1365,37.39314294,89.6526537,100.1177089
"20370_669145","Bruce Zimmermann",2022,66.059999085,156.5520372,27,58.060000228,107.9172912,4.766174475,81.86041175,0.1094,49.26960885,83.0520751,94.33418972
"24586_680694","Kyle Bradish",2022,117.05999907,129.0150317,25,0,NA,NA,NA,NA,NA,NA,NA
"23429_676664","JP Sears",2022,52.059999943,115.3097544,26,0,NA,NA,NA,NA,NA,NA,NA
"14843_547179","Michael Lorenzen",2022,97.059999085,107.1683363,30,0,NA,NA,NA,NA,NA,NA,NA
"19427_669456","Shane Bieber",2022,200,75.7575966,27,96.059999085,68.34916331,3.206545893,143.548801,0.2494,54.24625015,111.025871,105.4888387
"18000_663474","Triston McKenzie",2022,188.03000183,76.67956451,24,116.02999955,104.8984994,4.320559046,118.6548726,0.1608,42.34005488,103.078329,99.61655352
"19959_666200","Jesús Luzardo",2022,100.02999955,81.68132553,24,85.029999541,113.7829101,4.782493976,96.9218467,0.1125,56.43418981,91.82324149,93.22337878
"21390_657746","Joe Ryan",2022,147,92.65043669,26,26.060000228,87.24164151,3.422859031,130.1580549,0.25,37.35701682,95.33640777,101.5883495
"11189_592826","Vince Velasquez",2022,39.029999541,134.2424774,30,88.089999484,118.0392756,4.753238654,97.64426566,0.1228,46.40868988,103.2608642,100.0003704
"20778_650911","Cristopher Sánchez",2022,13.030000114,82.99560223,25,0,NA,NA,NA,NA,NA,NA,NA
"17277_624133","Ranger Suárez",2022,155.03000183,89.76345403,26,65.059999085,79.50291411,3.677279714,107.2441236,0.1769,47.98545629,90.32576205,96.58603736
